"id","identity_code","ground_index","arrival_time"
"913","fedc20debletest0","9","2023/03/24 10:00:45"
"914","dc32f1d2bletest0","1","2023/03/24 10:00:46"
"915","75909e89bletest0","10","2023/03/24 10:00:46"
"916","0926bde8bletest0","2","2023/03/24 10:00:47"
"917","fedc20debletest0","8","2023/03/24 10:02:02"
"918","75909e89bletest0","9","2023/03/24 10:02:03"
"919","0926bde8bletest0","3","2023/03/24 10:03:02"
"920","75909e89bletest0","10","2023/03/24 10:03:03"
"921","fedc20debletest0","7","2023/03/24 10:03:02"
"922","dc32f1d2bletest0","2","2023/03/24 10:03:05"
"923","fedc20debletest0","6","2023/03/24 10:04:04"
"924","0926bde8bletest0","4","2023/03/24 10:04:04"
"925","dc32f1d2bletest0","3","2023/03/24 10:04:09"
"926","75909e89bletest0","9","2023/03/24 10:05:02"
"927","fedc20debletest0","5","2023/03/24 10:05:02"
"928","75909e89bletest0","8","2023/03/24 10:06:03"
"929","0926bde8bletest0","5","2023/03/24 10:06:02"
"930","fedc20debletest0","4","2023/03/24 10:06:03"
"931","dc32f1d2bletest0","4","2023/03/24 10:06:03"
"932","75909e89bletest0","7","2023/03/24 10:07:02"
"933","0926bde8bletest0","6","2023/03/24 10:07:02"
"934","dc32f1d2bletest0","5","2023/03/24 10:07:05"
"935","75909e89bletest0","6","2023/03/24 10:08:02"
"936","0926bde8bletest0","7","2023/03/24 10:08:01"
"937","fedc20debletest0","3","2023/03/24 10:08:03"
"938","75909e89bletest0","5","2023/03/24 10:09:02"
"939","fedc20debletest0","2","2023/03/24 10:09:03"
"940","dc32f1d2bletest0","6","2023/03/24 10:09:06"
"941","75909e89bletest0","4","2023/03/24 10:10:02"
"942","0926bde8bletest0","8","2023/03/24 10:10:02"
"943","75909e89bletest0","3","2023/03/24 10:11:02"
"944","0926bde8bletest0","9","2023/03/24 10:11:02"
"945","fedc20debletest0","1","2023/03/24 10:11:02"
"946","dc32f1d2bletest0","7","2023/03/24 10:11:07"
"947","75909e89bletest0","2","2023/03/24 10:12:02"
"948","dc32f1d2bletest0","8","2023/03/24 10:12:05"
"949","75909e89bletest0","1","2023/03/24 10:13:02"
"950","0926bde8bletest0","10","2023/03/24 10:13:02"
"951","dc32f1d2bletest0","9","2023/03/24 10:13:07"
"952","fedc20debletest0","2","2023/03/24 10:13:08"
"953","fedc20debletest0","3","2023/03/24 10:14:05"
"954","75909e89bletest0","2","2023/03/24 10:15:03"
"955","fedc20debletest0","4","2023/03/24 10:15:03"
"956","0926bde8bletest0","9","2023/03/24 10:15:03"
"957","dc32f1d2bletest0","10","2023/03/24 10:15:06"
"958","75909e89bletest0","3","2023/03/24 10:16:02"
"959","fedc20debletest0","5","2023/03/24 10:16:02"
"960","0926bde8bletest0","8","2023/03/24 10:16:02"
"961","dc32f1d2bletest0","9","2023/03/24 10:16:05"
